,ds,y
630,2020/9/23,4772
631,2020/9/24,5434
632,2020/9/25,5274
633,2020/9/26,4547
634,2020/9/27,4489
635,2020/9/28,4555
636,2020/9/29,4259
637,2020/9/30,5285
638,2020/10/1,4645
639,2020/10/2,3460
640,2020/10/3,3418
641,2020/10/4,3592
642,2020/10/5,4539
643,2020/10/6,4239
644,2020/10/7,4100
645,2020/10/8,4718
646,2020/10/9,4310
647,2020/10/10,3295
648,2020/10/11,3088
649,2020/10/12,3361
650,2020/10/13,3465
651,2020/10/14,3992
652,2020/10/15,3926
653,2020/10/16,3801
654,2020/10/17,4087
655,2020/10/18,3946
656,2020/10/19,4505
657,2020/10/20,4244
658,2020/10/21,3309
659,2020/10/22,4341
660,2020/10/23,4003
661,2020/10/24,3892
662,2020/10/25,4025
663,2020/10/26,3503
664,2020/10/27,3401
665,2020/10/28,3470
666,2020/10/29,3708
667,2020/10/30,4215
668,2020/10/31,3719
669,2020/11/1,3569
670,2020/11/2,3523
671,2020/11/3,3189
672,2020/11/4,3551
673,2020/11/5,3319
674,2020/11/6,3263
675,2020/11/7,3199
676,2020/11/8,3928
677,2020/11/9,4080
678,2020/11/10,3590
679,2020/11/11,3708
680,2020/11/12,3191
681,2020/11/13,3373
682,2020/11/14,3364
683,2020/11/15,3463
684,2020/11/16,3147
685,2020/11/17,3202
686,2020/11/18,3361
687,2020/11/19,3314
688,2020/11/20,3643
689,2020/11/21,2928
690,2020/11/22,2765
691,2020/11/23,3145
692,2020/11/24,3134
693,2020/11/25,3306
694,2020/11/26,3145
695,2020/11/27,3495
696,2020/11/28,2977
697,2020/11/29,3287
698,2020/11/30,3320
699,2020/12/1,3237
700,2020/12/2,3050
701,2020/12/3,3168
702,2020/12/4,3084
703,2020/12/5,3618
704,2020/12/6,2691
705,2020/12/7,3106
706,2020/12/8,3164
707,2020/12/9,3094
708,2020/12/10,3086
709,2020/12/11,3129
710,2020/12/12,3282
711,2020/12/13,2830
712,2020/12/14,3021
713,2020/12/15,3012
714,2020/12/16,3020.59
715,2020/12/17,3000.27
716,2020/12/18,3047.2
717,2020/12/19,3046.68
718,2020/12/20,3716.33
719,2020/12/21,3072.6
720,2020/12/22,3198.84
721,2020/12/23,3076.31
722,2020/12/24,3544.739
723,2020/12/25,3417.97
724,2020/12/26,3065.95
725,2020/12/27,2868.795
726,2020/12/28,3134.859
727,2020/12/29,3093.26
728,2020/12/30,3117.59
729,2020/12/31,3153.776
730,2021/1/1,2767
731,2021/1/2,2936
732,2021/1/3,3037
733,2021/1/4,3032
734,2021/1/5,3067
735,2021/1/6,3102
736,2021/1/7,3102
737,2021/1/8,3105
738,2021/1/9,3202
739,2021/1/10,2906
740,2021/1/11,3093
741,2021/1/12,3116
742,2021/1/13,3114
743,2021/1/14,3132
744,2021/1/15,3310
745,2021/1/16,3046
746,2021/1/17,3035
747,2021/1/18,3157
748,2021/1/19,3159
749,2021/1/20,3149
750,2021/1/21,3074
751,2021/1/22,3097
752,2021/1/23,3203
753,2021/1/24,3073
754,2021/1/25,3269
755,2021/1/26,3219
756,2021/1/27,3064
757,2021/1/28,3286
758,2021/1/29,3203
759,2021/1/30,3447
760,2021/1/31,2906
761,2021/2/1,2938
762,2021/2/2,3045
763,2021/2/3,3006
764,2021/2/4,3132
765,2021/2/5,3060
766,2021/2/6,3066
767,2021/2/7,2763
768,2021/2/8,3047
769,2021/2/9,2880
770,2021/2/10,2888
771,2021/2/11,2833
772,2021/2/12,2992
773,2021/2/13,3024
774,2021/2/14,2911
775,2021/2/15,2645
776,2021/2/16,3002
777,2021/2/17,2824
778,2021/2/18,2907
779,2021/2/19,2885
780,2021/2/20,2975
781,2021/2/21,3139
782,2021/2/22,2989
783,2021/2/23,3109
784,2021/2/24,3049
785,2021/2/25,3029
786,2021/2/26,3041
787,2021/2/27,2758
788,2021/2/28,2672
789,2021/3/1,2832
790,2021/3/2,3221
791,2021/3/3,3075
