date,year,month,day,Day of the week,work
2020/2/13,2020,2,13,4,TRUE
2020/2/14,2020,2,14,5,TRUE
2020/2/15,2020,2,15,6,TRUE
2020/2/16,2020,2,16,7,FALSE
2020/2/17,2020,2,17,1,TRUE
2020/2/18,2020,2,18,2,TRUE
2020/2/19,2020,2,19,3,TRUE
2020/2/20,2020,2,20,4,TRUE
2020/2/21,2020,2,21,5,TRUE
2020/2/22,2020,2,22,6,FALSE
2020/2/23,2020,2,23,7,FALSE
2020/2/24,2020,2,24,1,TRUE
2020/2/25,2020,2,25,2,TRUE
2020/2/26,2020,2,26,3,TRUE
2020/2/27,2020,2,27,4,TRUE
2020/2/28,2020,2,28,5,FALSE
2020/2/29,2020,2,29,6,FALSE
2020/3/1,2020,3,1,7,FALSE
2020/3/2,2020,3,2,1,TRUE
2020/3/3,2020,3,3,2,TRUE
2020/3/4,2020,3,4,3,TRUE
2020/3/5,2020,3,5,4,TRUE
2020/3/6,2020,3,6,5,TRUE
2020/3/7,2020,3,7,6,FALSE
2020/3/8,2020,3,8,7,FALSE
2020/3/9,2020,3,9,1,TRUE
2020/3/10,2020,3,10,2,TRUE
2020/3/11,2020,3,11,3,TRUE
2020/3/12,2020,3,12,4,TRUE
2020/3/13,2020,3,13,5,TRUE
2020/3/14,2020,3,14,6,FALSE
2020/3/15,2020,3,15,7,FALSE
2020/3/16,2020,3,16,1,TRUE
2020/3/17,2020,3,17,2,TRUE
2020/3/18,2020,3,18,3,TRUE
2020/3/19,2020,3,19,4,TRUE
2020/3/20,2020,3,20,5,TRUE
2020/3/21,2020,3,21,6,FALSE
2020/3/22,2020,3,22,7,FALSE
2020/3/23,2020,3,23,1,TRUE
2020/3/24,2020,3,24,2,TRUE
2020/3/25,2020,3,25,3,TRUE
2020/3/26,2020,3,26,4,TRUE
2020/3/27,2020,3,27,5,TRUE
2020/3/28,2020,3,28,6,FALSE
2020/3/29,2020,3,29,7,FALSE
2020/3/30,2020,3,30,1,TRUE
2020/3/31,2020,3,31,2,TRUE
2020/4/1,2020,4,1,3,TRUE
2020/4/2,2020,4,2,4,FALSE
2020/4/3,2020,4,3,5,FALSE
2020/4/4,2020,4,4,6,FALSE
2020/4/5,2020,4,5,7,FALSE
2020/4/6,2020,4,6,1,TRUE
2020/4/7,2020,4,7,2,TRUE
2020/4/8,2020,4,8,3,TRUE
2020/4/9,2020,4,9,4,TRUE
2020/4/10,2020,4,10,5,TRUE
2020/4/11,2020,4,11,6,FALSE
2020/4/12,2020,4,12,7,FALSE
2020/4/13,2020,4,13,1,TRUE
2020/4/14,2020,4,14,2,TRUE
2020/4/15,2020,4,15,3,TRUE
2020/4/16,2020,4,16,4,TRUE
2020/4/17,2020,4,17,5,TRUE
2020/4/18,2020,4,18,6,FALSE
2020/4/19,2020,4,19,7,FALSE
2020/4/20,2020,4,20,1,TRUE
2020/4/21,2020,4,21,2,TRUE
2020/4/22,2020,4,22,3,TRUE
2020/4/23,2020,4,23,4,TRUE
2020/4/24,2020,4,24,5,TRUE
2020/4/25,2020,4,25,6,FALSE
2020/4/26,2020,4,26,7,FALSE
2020/4/27,2020,4,27,1,TRUE
2020/4/28,2020,4,28,2,TRUE
2020/4/29,2020,4,29,3,TRUE
2020/4/30,2020,4,30,4,TRUE
2020/5/1,2020,5,1,5,TRUE
2020/5/2,2020,5,2,6,FALSE
2020/5/3,2020,5,3,7,FALSE
2020/5/4,2020,5,4,1,TRUE
2020/5/5,2020,5,5,2,TRUE
2020/5/6,2020,5,6,3,TRUE
2020/5/7,2020,5,7,4,TRUE
2020/5/8,2020,5,8,5,TRUE
2020/5/9,2020,5,9,6,FALSE
2020/5/10,2020,5,10,7,FALSE
2020/5/11,2020,5,11,1,TRUE
2020/5/12,2020,5,12,2,TRUE
2020/5/13,2020,5,13,3,TRUE
2020/5/14,2020,5,14,4,TRUE
2020/5/15,2020,5,15,5,TRUE
2020/5/16,2020,5,16,6,FALSE
2020/5/17,2020,5,17,7,FALSE
2020/5/18,2020,5,18,1,TRUE
2020/5/19,2020,5,19,2,TRUE
2020/5/20,2020,5,20,3,TRUE
2020/5/21,2020,5,21,4,TRUE
2020/5/22,2020,5,22,5,TRUE
2020/5/23,2020,5,23,6,FALSE
2020/5/24,2020,5,24,7,FALSE
2020/5/25,2020,5,25,1,TRUE
2020/5/26,2020,5,26,2,TRUE
2020/5/27,2020,5,27,3,TRUE
2020/5/28,2020,5,28,4,TRUE
2020/5/29,2020,5,29,5,TRUE
2020/5/30,2020,5,30,6,FALSE
2020/5/31,2020,5,31,7,FALSE
2020/6/1,2020,6,1,1,TRUE
2020/6/2,2020,6,2,2,TRUE
2020/6/3,2020,6,3,3,TRUE
2020/6/4,2020,6,4,4,TRUE
2020/6/5,2020,6,5,5,TRUE
2020/6/6,2020,6,6,6,FALSE
2020/6/7,2020,6,7,7,FALSE
2020/6/8,2020,6,8,1,TRUE
2020/6/9,2020,6,9,2,TRUE
2020/6/10,2020,6,10,3,TRUE
2020/6/11,2020,6,11,4,TRUE
2020/6/12,2020,6,12,5,TRUE
2020/6/13,2020,6,13,6,FALSE
