date,year,month,day,Day of the week,work,備轉容量(MW),備轉容量率(%)
2020/3/6,2020,3,6,5,TRUE,3179,11.13
2020/3/7,2020,3,7,6,FALSE,3712,14.18
2020/3/8,2020,3,8,7,FALSE,3379,13.22
2020/3/9,2020,3,9,1,TRUE,3208,10.82
2020/3/10,2020,3,10,2,TRUE,3941,13.79
2020/3/11,2020,3,11,3,TRUE,3255,11.41
2020/3/12,2020,3,12,4,TRUE,3002,10.23
2020/3/13,2020,3,13,5,TRUE,3098,10.62
2020/3/14,2020,3,14,6,FALSE,3826,14.83
2020/3/15,2020,3,15,7,FALSE,3493,14.06
2020/3/16,2020,3,16,1,TRUE,4820,17.22
2020/3/17,2020,3,17,2,TRUE,4143,14.41
2020/3/18,2020,3,18,3,TRUE,4153,14.26
2020/3/19,2020,3,19,4,TRUE,3085,10.5
2020/3/20,2020,3,20,5,TRUE,3700,12.75
2020/3/21,2020,3,21,6,FALSE,3020,11.34
2020/3/22,2020,3,22,7,FALSE,3086,11.83
2020/3/23,2020,3,23,1,TRUE,3771,12.84
2020/3/24,2020,3,24,2,TRUE,4125,14
2020/3/25,2020,3,25,3,TRUE,3577,11.91
2020/3/26,2020,3,26,4,TRUE,3187,10.33
2020/3/27,2020,3,27,5,TRUE,3264,10.44
2020/3/28,2020,3,28,6,FALSE,4066,15.7
2020/3/29,2020,3,29,7,FALSE,3489,13.87
2020/3/30,2020,3,30,1,TRUE,3508,12.22
2020/3/31,2020,3,31,2,TRUE,3322,11.39
2020/4/1,2020,4,1,3,TRUE,4095,14.48
2020/4/2,2020,4,2,4,FALSE,4108,16.15
2020/4/3,2020,4,3,5,FALSE,3749,14.92
2020/4/4,2020,4,4,6,FALSE,4414,18.21
2020/4/5,2020,4,5,7,FALSE,4249,17.45
2020/4/6,2020,4,6,1,TRUE,4054,14.35
2020/4/7,2020,4,7,2,TRUE,4037,14.36
2020/4/8,2020,4,8,3,TRUE,3364,11.91
2020/4/9,2020,4,9,4,TRUE,3678,13
2020/4/10,2020,4,10,5,TRUE,4650,16.33
2020/4/11,2020,4,11,6,FALSE,3179,12.34
2020/4/12,2020,4,12,7,FALSE,2809,11.42
2020/4/13,2020,4,13,1,TRUE,3328,12.05
2020/4/14,2020,4,14,2,TRUE,3563,12.78
