,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
459,2020-04-04,3916.5536747326614,2661.833281777538,4028.1801672544334,3916.5536747326614,3916.5536747326614,-589.5603997989184,-589.5603997989184,-589.5603997989184,7.3157281891883805,7.3157281891883805,7.3157281891883805,-596.8761279881068,-596.8761279881068,-596.8761279881068,0.0,0.0,0.0,3326.993274933743
460,2020-04-05,3914.0068239935645,2489.190123986001,3841.8250308699603,3914.0068239935645,3914.0068239935645,-748.2620298257465,-748.2620298257465,-748.2620298257465,-144.34706851126714,-144.34706851126714,-144.34706851126714,-603.9149613144795,-603.9149613144795,-603.9149613144795,0.0,0.0,0.0,3165.744794167818
461,2020-04-06,3911.4599732544675,2656.654269245631,4013.645154586977,3911.4599732544675,3911.4599732544675,-567.6097471713163,-567.6097471713163,-567.6097471713163,41.90378920451496,41.90378920451496,41.90378920451496,-609.5135363758312,-609.5135363758312,-609.5135363758312,0.0,0.0,0.0,3343.850226083151
462,2020-04-07,3908.9131225153697,2657.1917054207715,3961.492613261205,3908.9131225153697,3908.9131225153697,-608.9215244250588,-608.9215244250588,-608.9215244250588,4.596392493144116,4.596392493144116,4.596392493144116,-613.5179169182029,-613.5179169182029,-613.5179169182029,0.0,0.0,0.0,3299.9915980903106
463,2020-04-08,3906.3662717762722,2620.5011010122303,3950.7255864765602,3906.3662717762722,3906.3662717762722,-607.0397178648435,-607.0397178648435,-607.0397178648435,8.788991564439282,8.788991564439282,8.788991564439282,-615.8287094292829,-615.8287094292829,-615.8287094292829,0.0,0.0,0.0,3299.3265539114286
464,2020-04-09,3903.8194210371753,2638.9704890324483,3985.6004705370706,3903.8194210371757,3903.8194210371757,-600.9117213495097,-600.9117213495097,-600.9117213495097,15.49170922112448,15.49170922112448,15.49170922112448,-616.4034305706341,-616.4034305706341,-616.4034305706341,0.0,0.0,0.0,3302.9076996876656
465,2020-04-10,3901.2725702980783,2625.5519158030174,4004.541120069221,3901.2725702980783,3901.2725702980783,-549.0065098482333,-549.0065098482333,-549.0065098482333,66.25045783918063,66.25045783918063,66.25045783918063,-615.2569676874139,-615.2569676874139,-615.2569676874139,0.0,0.0,0.0,3352.266060449845
466,2020-04-11,3898.725719558981,2683.5434652137887,3963.137810296428,3898.725719558981,3898.725719558981,-605.1443722764988,-605.1443722764988,-605.1443722764988,7.315728188894808,7.315728188894808,7.315728188894808,-612.4601004653936,-612.4601004653936,-612.4601004653936,0.0,0.0,0.0,3293.581347282482
467,2020-04-12,3896.178868819883,2454.327123522592,3805.7729742841066,3896.178868819883,3896.178868819883,-752.4831807722464,-752.4831807722464,-752.4831807722464,-144.34706851139376,-144.34706851139376,-144.34706851139376,-608.1361122608527,-608.1361122608527,-608.1361122608527,0.0,0.0,0.0,3143.6956880476364
468,2020-04-13,3893.632018080786,2645.6709912830875,3994.922099504552,3893.632018080786,3893.632018080786,-560.5517907426415,-560.5517907426415,-560.5517907426415,41.90378920462507,41.90378920462507,41.90378920462507,-602.4555799472666,-602.4555799472666,-602.4555799472666,0.0,0.0,0.0,3333.0802273381446
469,2020-04-14,3891.085167341689,2636.4241517100786,4023.8985472197805,3891.085167341689,3891.085167341689,-591.0330969710366,-591.0330969710366,-591.0330969710366,4.596392493156449,4.596392493156449,4.596392493156449,-595.629489464193,-595.629489464193,-595.629489464193,0.0,0.0,0.0,3300.0520703706525
470,2020-04-15,3888.538316602592,2693.3248114912803,3971.3348069731273,3888.538316602592,3888.538316602592,-579.111887252907,-579.111887252907,-579.111887252907,8.78899156434985,8.78899156434985,8.78899156434985,-587.9008788172567,-587.9008788172567,-587.9008788172567,0.0,0.0,0.0,3309.4264293496853
471,2020-04-16,3885.991465863495,2674.6576554971625,3978.6280614941716,3885.991465863495,3885.991465863495,-564.0435501443991,-564.0435501443991,-564.0435501443991,15.491709220886836,15.491709220886836,15.491709220886836,-579.5352593652859,-579.5352593652859,-579.5352593652859,0.0,0.0,0.0,3321.947915719096
472,2020-04-17,3883.444615124398,2764.6764144148306,4042.9104093910832,3883.444615124398,3883.444615124398,-504.55965043643056,-504.55965043643056,-504.55965043643056,66.25045783941029,66.25045783941029,66.25045783941029,-570.8101082758409,-570.8101082758409,-570.8101082758409,0.0,0.0,0.0,3378.884964687967
473,2020-04-18,3880.897764385301,2660.6044775395444,3965.787029741945,3880.897764385301,3880.897764385301,-554.6880304844489,-554.6880304844489,-554.6880304844489,7.315728189083975,7.315728189083975,7.315728189083975,-562.0037586735327,-562.0037586735327,-562.0037586735327,0.0,0.0,0.0,3326.209733900852
474,2020-04-19,3878.350913646203,2473.8024060503467,3831.9450112256227,3878.350913646203,3878.350913646203,-697.7311066307238,-697.7311066307238,-697.7311066307238,-144.34706851128476,-144.34706851128476,-144.34706851128476,-553.3840381194392,-553.3840381194392,-553.3840381194392,0.0,0.0,0.0,3180.619807015479
475,2020-04-20,3875.8040629071056,2755.783264749405,4020.5196230840625,3875.8040629071056,3875.8040629071056,-503.29323058079217,-503.29323058079217,-503.29323058079217,41.90378920470609,41.90378920470609,41.90378920470609,-545.1970197854982,-545.1970197854982,-545.1970197854982,0.0,0.0,0.0,3372.5108323263134
476,2020-04-21,3873.2572121680087,2713.5682679805855,4051.359178564989,3873.2572121680087,3873.2572121680087,-533.0598609897143,-533.0598609897143,-533.0598609897143,4.596392493314221,4.596392493314221,4.596392493314221,-537.6562534830284,-537.6562534830284,-537.6562534830284,0.0,0.0,0.0,3340.1973511782944
477,2020-04-22,3870.7103614289117,2649.0527117737947,4041.718054061074,3870.7103614289117,3870.7103614289117,-522.1438437615197,-522.1438437615197,-522.1438437615197,8.788991564538051,8.788991564538051,8.788991564538051,-530.9328353260578,-530.9328353260578,-530.9328353260578,0.0,0.0,0.0,3348.566517667392
478,2020-04-23,3868.1635106898143,2686.4694277781755,4021.968919188201,3868.1635106898143,3868.1635106898143,-509.6549461505446,-509.6549461505446,-509.6549461505446,15.491709221031366,15.491709221031366,15.491709221031366,-525.146655371576,-525.146655371576,-525.146655371576,0.0,0.0,0.0,3358.5085645392696
479,2020-04-24,3865.6166599507164,2765.997977862019,4042.8542245684175,3865.6166599507164,3865.6166599507164,-454.10867466655674,-454.10867466655674,-454.10867466655674,66.25045783963996,66.25045783963996,66.25045783963996,-520.3591325061967,-520.3591325061967,-520.3591325061967,0.0,0.0,0.0,3411.5079852841595
480,2020-04-25,3863.0698092116195,2731.291461501651,4021.7310805401244,3863.0698092116195,3863.0698092116195,-509.2519777102401,-509.2519777102401,-509.2519777102401,7.315728188790398,7.315728188790398,7.315728188790398,-516.5677058990304,-516.5677058990304,-516.5677058990304,0.0,0.0,0.0,3353.8178315013793
481,2020-04-26,3860.4425537065426,2544.616552078107,3892.924363237143,3860.4425537065426,3860.4425537065426,-658.0493720917685,-658.0493720917685,-658.0493720917685,-144.34706851129357,-144.34706851129357,-144.34706851129357,-513.7023035804749,-513.7023035804749,-513.7023035804749,0.0,0.0,0.0,3202.393181614774
482,2020-04-27,3857.815298201465,2739.4095868330446,4062.987794335875,3857.815298201465,3857.815298201465,-469.72016325882345,-469.72016325882345,-469.72016325882345,41.90378920430444,41.90378920430444,41.90378920430444,-511.62395246312786,-511.62395246312786,-511.62395246312786,0.0,0.0,0.0,3388.0951349426414
483,2020-04-28,3855.1880426963876,2696.745527112296,4015.6347694212336,3855.1880426963876,3855.1880426963876,-505.5292394832105,-505.5292394832105,-505.5292394832105,4.596392493156349,4.596392493156349,4.596392493156349,-510.1256319763669,-510.1256319763669,-510.1256319763669,0.0,0.0,0.0,3349.658803213177
484,2020-04-29,3852.5607871913107,2672.158504046152,3998.3829884533297,3852.5607871913107,3852.5607871913107,-500.14641564356083,-500.14641564356083,-500.14641564356083,8.788991564170987,8.788991564170987,8.788991564170987,-508.9354072077319,-508.9354072077319,-508.9354072077319,0.0,0.0,0.0,3352.41437154775
485,2020-04-30,3849.933531686233,2702.843149530834,4050.5903329786447,3849.933531686233,3849.933531686233,-492.2300997246933,-492.2300997246933,-492.2300997246933,15.491709220845825,15.491709220845825,15.491709220845825,-507.7218089455391,-507.7218089455391,-507.7218089455391,0.0,0.0,0.0,3357.7034319615395
486,2020-05-01,3847.306276181156,2779.159356066351,4064.1467620497133,3847.306276181156,3847.306276181156,-439.85090146409357,-439.85090146409357,-439.85090146409357,66.25045783931945,66.25045783931945,66.25045783931945,-506.101359303413,-506.101359303413,-506.101359303413,0.0,0.0,0.0,3407.4553747170626
