,ds,y
671,2020/11/2,3523.0
672,2020/11/3,3189.0
673,2020/11/4,3551.0
674,2020/11/5,3319.0
675,2020/11/6,3263.0
676,2020/11/7,3199.0
677,2020/11/8,3928.0
678,2020/11/9,4080.0
679,2020/11/10,3590.0
680,2020/11/11,3708.0
681,2020/11/12,3191.0
682,2020/11/13,3373.0
683,2020/11/14,3364.0
684,2020/11/15,3463.0
685,2020/11/16,3147.0
686,2020/11/17,3202.0
687,2020/11/18,3361.0
688,2020/11/19,3314.0
689,2020/11/20,3643.0
690,2020/11/21,2928.0
691,2020/11/22,2765.0
692,2020/11/23,3145.0
693,2020/11/24,3134.0
694,2020/11/25,3306.0
695,2020/11/26,3145.0
696,2020/11/27,3495.0
697,2020/11/28,2977.0
698,2020/11/29,3287.0
699,2020/11/30,3320.0
700,2020/12/1,3237.0
701,2020/12/2,3050.0
702,2020/12/3,3168.0
703,2020/12/4,3084.0
704,2020/12/5,3618.0
705,2020/12/6,2691.0
706,2020/12/7,3106.0
707,2020/12/8,3164.0
708,2020/12/9,3094.0
709,2020/12/10,3086.0
710,2020/12/11,3129.0
711,2020/12/12,3282.0
712,2020/12/13,2830.0
713,2020/12/14,3021.0
714,2020/12/15,3012.0
715,2020/12/16,3020.59
716,2020/12/17,3000.27
717,2020/12/18,3047.2
718,2020/12/19,3046.68
719,2020/12/20,3716.33
720,2020/12/21,3072.6
721,2020/12/22,3198.84
722,2020/12/23,3076.31
723,2020/12/24,3544.739
724,2020/12/25,3417.97
725,2020/12/26,3065.95
726,2020/12/27,2868.795
727,2020/12/28,3134.8590000000004
728,2020/12/29,3093.26
729,2020/12/30,3117.59
730,2020/12/31,3153.776
731,2021/1/1,2767.0
732,2021/1/2,2936.0
733,2021/1/3,3037.0
734,2021/1/4,3032.0
735,2021/1/5,3067.0
736,2021/1/6,3102.0
737,2021/1/7,3102.0
738,2021/1/8,3105.0
739,2021/1/9,3202.0
740,2021/1/10,2906.0
741,2021/1/11,3093.0
742,2021/1/12,3116.0
743,2021/1/13,3114.0
744,2021/1/14,3132.0
745,2021/1/15,3310.0
746,2021/1/16,3046.0
747,2021/1/17,3035.0
748,2021/1/18,3157.0
749,2021/1/19,3159.0
750,2021/1/20,3149.0
