,Keelung,Xizhi,Wanli,Xindian,Tucheng,Banqiao,Xinzhuang,Cailiao,Linkou,Dashui,Shilin, Zhongshan,Wanhua,Guting,Songshan,Datong,Taoyuan,Dayuan,Guanyin,Pingzhen,Longtan,Hukou,Zhudong ,Xinzhu,Toufen,Miaoli,Sanyi,Fengyuan,Shalu,Dali,Zhongming,Xitun,Changhua,Xianxi,Erlin,Nantou,Douliu,Lunbei,Xingang,Piaozi,Taixi,Chiayi,Xinying,Shanhua,Annan,Tainan,Meinong,Qiaotou,Renwu,Fengshan,Daliao,Lin Garden,Nanzi,Zuoying,Qianjin,Qianzhen ,Xiaogang,Pingtung,Chaozhou,Hengchun,Taitung,Hualian,Yangming,Yilan,Winter Mountain,Sanchong,Zhongli,Zhushan,Yonghe,Fuxing,Puli,Mazu,Jinmen,Magong,Guanshan,Mailiao,Fugui Jiao
2019-02-03,25,24,19,22,39,42,38,32,31,34,32,29,28,31,32,31,42,44,55,42,36,37,33,37,32,45,31,31,50,33,52,51,41,58,53,41,42,64,52,38,64,37,36,24,32,31,17,25,25,29,31,24,29,20,29,20,22,25,22,10,7,7,16,14,10,32,40,31,32,25,25,24,38,25,10,52,31
2019-02-04,24,19,23,17,22,21,17,19,22,17,13,18,15,19,19,15,21,44,52,42,28,37,27,42,37,41,24,19,38,26,37,38,33,46,35,34,31,48,42,34,49,29,34,22,24,26,19,27,24,25,17,10,25,17,24,16,18,17,9,6,4,9,3,14,9,19,43,28,20,20,25,49,37,30,10,44,39
2019-02-05,19,18,18,16,16,18,14,18,16,16,20,15,15,18,19,14,23,28,35,27,25,26,29,35,32,37,26,33,30,36,41,37,38,38,33,45,52,43,35,36,39,43,39,42,37,37,25,41,42,39,37,39,46,35,48,38,39,35,31,12,5,12,6,16,9,17,27,41,17,41,27,50,84,35,11,33,29
2019-02-06,26,25,23,24,28,30,23,26,26,23,23,27,25,30,24,23,28,30,41,28,26,30,24,33,27,34,30,22,32,21,35,32,34,0,33,35,40,49,40,36,44,39,41,34,33,37,15,39,36,34,32,32,43,30,34,28,33,32,32,16,11,12,14,24,18,27,27,24,32,37,27,37,76,29,12,36,32
2019-02-07,26,23,24,19,27,31,25,29,28,26,0,30,26,23,25,28,33,31,34,31,29,26,28,33,25,33,30,25,28,16,31,27,27,35,30,27,26,39,33,21,43,24,26,22,26,28,12,25,25,24,23,20,26,21,26,22,22,19,16,11,10,14,15,21,16,29,30,19,27,27,24,24,50,25,12,33,31
2019-02-08,9,7,10,8,9,9,5,8,14,8,7,9,7,7,6,6,12,9,12,12,11,8,13,15,11,18,15,15,14,13,19,17,19,16,19,23,29,28,26,20,21,30,28,30,26,30,13,38,33,35,27,28,40,30,39,35,35,30,18,11,11,10,1,12,5,6,12,18,12,39,21,11,19,14,12,19,14
2019-02-09,5,5,6,9,8,8,5,6,6,4,7,5,6,5,6,8,8,5,9,10,11,8,12,13,10,18,15,13,11,11,15,13,14,14,19,17,26,25,21,16,15,27,21,24,19,23,15,26,25,24,27,25,29,19,25,24,25,25,23,10,8,7,2,8,4,5,11,15,7,28,19,4,15,11,9,15,7
2019-02-10,3,3,5,5,5,5,3,4,5,4,4,4,5,2,4,5,7,6,7,9,11,6,14,10,9,15,12,10,10,11,12,13,12,13,15,17,26,22,18,12,10,23,17,24,16,17,18,27,25,28,27,28,33,18,25,23,25,26,28,7,4,6,2,10,4,4,6,15,5,28,21,7,12,8,6,11,6
2019-02-11,4,3,6,5,4,4,4,4,4,4,6,4,8,3,6,6,6,6,7,7,5,5,7,8,0,14,7,10,9,9,11,11,10,14,14,19,26,22,16,16,12,24,19,25,15,17,22,30,32,26,32,30,33,22,32,30,30,36,36,6,5,6,1,8,3,2,7,17,4,35,18,5,13,8,8,11,5
2019-02-12,5,8,8,10,11,0,5,5,4,6,7,8,8,9,8,6,8,7,8,6,11,8,16,14,9,18,11,14,12,11,11,9,12,14,15,17,20,21,17,10,15,21,17,21,14,17,21,28,27,23,31,27,33,26,29,25,27,32,35,6,4,6,2,6,5,5,7,15,10,32,18,7,12,10,5,12,4
